year,month,day,title,links,year_gregorian,month_gregorian,day_gregorian,event_link,event_link_english,title_english,سیاست,اجتماعی,حوادث طبیعی,هنر,علم,ایران,ورزشی
6,9,20,نبرد نینوا,[],627,12,12,,,Nineveh's battle,0.8282581567764282,0.8277830481529236,0.8231152296066284,0.822186291217804,0.8219102025032043,0.8111321926116943,0.8093592524528503
13,2,23,نبرد ۶۳۴ بابل,[],634,5,13,,,Battle; Babylon,0.8276094198226929,0.8268214464187622,0.8257630467414856,0.8238806128501892,0.8217161893844604,0.8213180899620056,0.8113848567008972
15,8,25,آغاز نبرد قادسیه.,"[{'text': 'نبرد قادسیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87'}]",636,11,16,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87,https://en.wikipedia.org/wiki/Battle_of_al-Qadisiyyah,Battle of al-Qadisiyyah,0.797666072845459,0.7972310185432434,0.7968106865882874,0.7967215180397034,0.794995903968811,0.794196605682373,0.7913158535957336
15,8,28,پایان نبرد قادسیه,"[{'text': 'نبرد قادسیه', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87'}]",636,11,19,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%82%D8%A7%D8%AF%D8%B3%DB%8C%D9%87,https://en.wikipedia.org/wiki/Battle_of_al-Qadisiyyah,Battle of al-Qadisiyyah,0.8140553832054138,0.8110451102256775,0.8085055351257324,0.804050624370575,0.803809404373169,0.8006210327148438,0.7987489700317383
20,11,25,نبرد نهاوند,"[{'text': 'نبرد نهاوند', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%86%D9%87%D8%A7%D9%88%D9%86%D8%AF'}]",642,2,14,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%86%D9%87%D8%A7%D9%88%D9%86%D8%AF,https://en.wikipedia.org/wiki/Battle_of_Nahavand,Battle of Nahavand,0.8080170750617981,0.8014752864837646,0.7984930276870728,0.7978023290634155,0.797105610370636,0.7946725487709045,0.7941123843193054
52,12,6,حملهٔ ابرهه به کعبه,[],674,2,25,,,Abrahama attack on the Kaaba,0.8298527002334595,0.8274290561676025,0.8272612690925598,0.8204261064529419,0.8176067471504211,0.8170146346092224,0.8137473464012146
59,7,20,نبرد کربلا در روز عاشورا و کشته شدن حسین بن علی و یارانش به دست یزید بن معاویه,"[{'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'نبرد کربلا', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7'}]",680,10,11,https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7,https://en.wikipedia.org/wiki/Battle_of_Karbala,Battle of Karbala,0.799668550491333,0.7972480058670044,0.7914327383041382,0.7899143695831299,0.7868722677230835,0.7861557602882385,0.7799749374389648
124,5,9,ورود ابومسلم به خراسان و آغاز فرمانروایی او در این سرزمین.,"[{'text': 'خراسان', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86'}]",745,7,31,,,Abu Muslim's arrival in Khorasan and the beginning of his reign in this land.,0.8205754160881042,0.8192601799964905,0.8167544603347778,0.8166422247886658,0.8153698444366455,0.8150217533111572,0.8092656135559082
220,3,10,اعدام بابک خرمدین,"[{'text': 'بابک خرمدین', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%A8%DA%A9_%D8%AE%D8%B1%D9%85%D8%AF%DB%8C%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",841,5,30,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%A8%DA%A9_%D8%AE%D8%B1%D9%85%D8%AF%DB%8C%D9%86,https://en.wikipedia.org/wiki/Babak_Khorramdin,Babak Khorramdin,0.8021271228790283,0.80095374584198,0.8004889488220215,0.7979243993759155,0.7973330616950989,0.7969086170196533,0.7899351716041565
222,7,29,یزدگرد اول، پادشاه ساسانی اعلام کرد که در مناسباتش با دولت روم، مذاکره و صلح را به جنگ ترجیح می‌دهد.,"[{'text': 'جنگ', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF'}, {'text': 'ساسانی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C'}, {'text': 'صلح', 'url': 'https://fa.wikipedia.org/wiki/%D8%B5%D9%84%D8%AD'}, {'text': 'مذاکره', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B0%D8%A7%DA%A9%D8%B1%D9%87'}, {'text': 'پادشاه', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%AF%D8%B4%D8%A7%D9%87'}, {'text': 'یزدگرد اول', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D8%B2%D8%AF%DA%AF%D8%B1%D8%AF_%DB%8C%DA%A9%D9%85'}]",843,10,21,https://fa.wikipedia.org/wiki/%DB%8C%D8%B2%D8%AF%DA%AF%D8%B1%D8%AF_%DB%8C%DA%A9%D9%85,https://en.wikipedia.org/wiki/Yazdegerd_I,Yazdegerd I,0.8204795718193054,0.8201771378517151,0.8194392323493958,0.8189877271652222,0.8156293630599976,0.8063628673553467,0.7886846661567688
224,2,4,نبرد هرمزدگان بین ساسانیان و اشکانیان که منجر به پیروزی ساسانیان و کشته شدن اردوان پنجم شد,"[{'text': 'اردوان پنجم', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D9%88%D8%A7%D9%86_%DA%86%D9%87%D8%A7%D8%B1%D9%85'}, {'text': 'اشکانیان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D8%A7%D8%B4%DA%A9%D8%A7%D9%86%DB%8C'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}, {'text': 'ساسانیان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D8%A7%D9%87%D9%86%D8%B4%D8%A7%D9%87%DB%8C_%D8%B3%D8%A7%D8%B3%D8%A7%D9%86%DB%8C'}, {'text': 'نبرد هرمزدگان', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D9%87%D8%B1%D9%85%D8%B2%D8%AF%DA%AF%D8%A7%D9%86'}]",845,4,23,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AF%D9%88%D8%A7%D9%86_%DA%86%D9%87%D8%A7%D8%B1%D9%85,https://en.wikipedia.org/wiki/Artabanus_IV_of_Parthia,Artabanus IV of Parthia,0.8028245568275452,0.8021442294120789,0.7983965873718262,0.7983328700065613,0.7975658178329468,0.7960847020149231,0.7763423919677734
235,10,2,زمین‌لرزه دامغان,[],856,12,22,,,Damghan earthquake,0.8289586305618286,0.8273023366928101,0.8262893557548523,0.8246981501579285,0.8232602477073669,0.8202217817306519,0.8197159171104431
243,8,14,بنیان نهادن سلسلهٔ علویان طبرستان توسط داعی کبیر در آمل.,"[{'text': 'آمل', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D9%85%D9%84'}, {'text': 'داعی کبیر', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B9%DB%8C_%DA%A9%D8%A8%DB%8C%D8%B1'}, {'text': 'علویان طبرستان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%84%D9%88%DB%8C%D8%A7%D9%86_%D8%B7%D8%A8%D8%B1%D8%B3%D8%AA%D8%A7%D9%86'}]",864,11,4,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%B9%DB%8C_%DA%A9%D8%A8%DB%8C%D8%B1,https://en.wikipedia.org/wiki/Hasan_ibn_Zayd,Hasan ibn Zayd,0.8260665535926819,0.823625385761261,0.8234825134277344,0.8229207396507263,0.8221529126167297,0.8194230198860168,0.8193970322608948
272,1,8,زمین‌لرزه اردبیل,[],893,3,27,,,Ardebil earthquake,0.8291345238685608,0.8272178173065186,0.8254824280738831,0.8242866396903992,0.8226637840270996,0.8207109570503235,0.8148179650306702
280,5,15,درگذشت عمرو لیث صفار برادر و جانشین یعقوب در زندان خلیفه عباسی بر اثر گرسنگی.,[],901,8,6,,,The death of Amr Laith Saffar's brother and successor Jacob in Khalifa Abbas Prison in Hunger.,0.7974154949188232,0.7956506013870239,0.7951902747154236,0.794508695602417,0.7933154702186584,0.7925967574119568,0.7882662415504456
330,10,30,نبرد دربند پارس و دفاع سردار ایرانی آریوبرزن در برابر یورش اسکندر مقدونی.,"[{'text': 'آریوبرزن', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%B1%DB%8C%D9%88%D8%A8%D8%B1%D8%B2%D9%86'}, {'text': 'اسکندر مقدونی', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%DA%A9%D9%86%D8%AF%D8%B1_%D9%85%D9%82%D8%AF%D9%88%D9%86%DB%8C'}, {'text': 'نبرد دربند پارس', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%D8%A8%D8%B1%D8%AF_%D8%AF%D8%B1%D8%A8%D9%86%D8%AF_%D9%BE%D8%A7%D8%B1%D8%B3'}]",952,1,20,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%DA%A9%D9%86%D8%AF%D8%B1_%D9%85%D9%82%D8%AF%D9%88%D9%86%DB%8C,https://en.wikipedia.org/wiki/Alexander_the_Great,Alexander the Great,0.8196529746055603,0.8166357278823853,0.8158412575721741,0.8139172196388245,0.8120925426483154,0.8066136837005615,0.7991189956665039
355,9,4,شهر تاریخی بیشاپور، در منطقه کازرون، طی گذشت ۶ سال، تکمیل شد.,"[{'text': 'بیشاپور', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D8%B4%D8%A7%D9%BE%D9%88%D8%B1'}, {'text': 'سال', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D9%84'}, {'text': 'کازرون', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86'}]",976,11,24,,,"The historic city of Bishapur, in the Kazerun area, was completed for five years.",0.8075417876243591,0.80586838722229,0.8041483163833618,0.7983013987541199,0.7964655160903931,0.7945420742034912,0.7920436859130859
366,7,23,آغاز به کار رصدخانه دیلمی ایران به مدیریت ابوسهل کوهی طبری,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",987,10,15,,,The start of the Iranian Dilmi Observatory was managed by Abu Kuhi Kuhi Tabari,0.8323301076889038,0.8320688605308533,0.8302597403526306,0.8281466364860535,0.828031599521637,0.8272293210029602,0.8209217190742493
