title,year,month,day,link,description,category
تاج‌گذاری رسمی آقامحمدخان قاجار,1175,1,1,https://fa.wikipedia.org/wiki/%D8%A2%D9%82%D8%A7%D9%85%D8%AD%D9%85%D8%AF%D8%AE%D8%A7%D9%86_%D9%82%D8%A7%D8%AC%D8%A7%D8%B1,,Event
بنیان‌گذاری روزنامه آلیک,1310,1,1,https://fa.wikipedia.org/wiki/%D8%A2%D9%84%DB%8C%DA%A9,,Event
رضاشاه از دولت‌های خارجی خواست تا در مکاتبات رسمی از عبارت ایران که توسط خود ایرانیان از گذشته استفاده می‌شده، برای کشور استفاده کنند,1314,1,1,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D9%85%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
طوفان ۱۳۹۷ گلستان,1397,1,1,https://fa.wikipedia.org/wiki/%D8%B7%D9%88%D9%81%D8%A7%D9%86_%DB%B1%DB%B3%DB%B9%DB%B7_%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86,,Event
آغاز اعتصاب غذای گسترده زندانیان سیاسی,1400,1,1,https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B5%D8%A7%D8%A8_%D8%BA%D8%B0%D8%A7%DB%8C_%DA%AF%D8%B3%D8%AA%D8%B1%D8%AF%D9%87_%D8%B2%D9%86%D8%AF%D8%A7%D9%86%DB%8C%D8%A7%D9%86_%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C,,Event
بلدیه تهران,1300,1,2,https://fa.wikipedia.org/wiki/%D8%B4%D9%87%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,,Event
مدرسه فیضیه قم,1342,1,2,https://fa.wikipedia.org/wiki/%D9%85%D8%AF%D8%B1%D8%B3%D9%87_%D9%81%DB%8C%D8%B6%DB%8C%D9%87,,Event
آغاز عملیات فتح‌المبین,1361,1,2,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%81%D8%AA%D8%AD%E2%80%8C%D8%A7%D9%84%D9%85%D8%A8%DB%8C%D9%86,,Event
عطامحمد نور,1397,1,2,https://fa.wikipedia.org/wiki/%D8%B9%D8%B7%D8%A7_%D9%85%D8%AD%D9%85%D8%AF_%D9%86%D9%88%D8%B1,,Event
حاجی فیروز,1400,1,2,https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AC%DB%8C_%D9%81%DB%8C%D8%B1%D9%88%D8%B2,,Event
تیم ملی فوتبال ترکمنستان,1403,1,2,https://fa.wikipedia.org/wiki/%D8%AA%DB%8C%D9%85_%D9%85%D9%84%DB%8C_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%AA%D8%B1%DA%A9%D9%85%D9%86%D8%B3%D8%AA%D8%A7%D9%86,,Event
رقابت ۳ فروردین ۱۳۹۶ تیم ملی فوتبال ایران با تیم ملی فوتبال قطر در مرحله مقدماتی جام جهانی فوتبال ۲۰۱۸ (آسیا),1396,1,3,https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%D8%AF%D8%A7%D8%B1%D9%87%D8%A7%DB%8C_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D9%82%D8%B7%D8%B1,,Event
